,county,state,latitude,longitude
8,ALLEN,KY,37.611434,-82.72503
11,AMHERST,VA,37.616606,-79.08763
13,APPOMATTOX,VA,37.374688,-78.80585
14,ARLINGTON,VA,38.885337,-77.09512
47,ASHLAND,OH,40.867016,-82.31514
48,ASHTABULA,OH,41.871212,-80.79178
50,ATHENS,OH,39.322846999999996,-82.09728
58,BEAVER,PA,40.695281,-80.3299
59,BEDFORD,PA,39.998096000000004,-78.52204
60,BEDFORD,VA,37.339184,-79.52839
63,BELMONT,OH,40.028171,-81.00679000000001
67,BLAND,VA,37.107412,-81.0571
74,BRADFORD,PA,41.943791,-78.65448
78,BRISTOL,VA,36.606582,-82.18087
84,BUCHANAN,VA,37.532990999999996,-79.68004
85,BUCKINGHAM,VA,37.581656,-78.62058
88,BUTLER,KY,38.796981,-84.33792
89,BUTLER,OH,40.561377,-82.41237
90,BUTLER,PA,40.877664,-79.9113
103,CARROLL,OH,39.803993,-82.70953
105,CARTER,KY,38.433912,-83.133597
109,CHARLES CITY,VA,37.342306,-77.0731
113,CHESTER,PA,39.84697,-75.37444
115,CHESTERFIELD,VA,37.405699,-77.5838
118,CLARION,PA,41.199396,-79.37196
122,CLAY,KY,37.481719,-87.8394
123,CLEARFIELD,PA,41.026239000000004,-78.43838000000001
125,CLINTON,KY,36.678217,-88.97559
126,CLINTON,OH,40.936655,-81.5981
127,CLINTON,PA,40.508376,-80.35953
129,COLUMBIA,PA,40.041911,-76.487732
131,COLUMBIANA,OH,40.884299,-80.68652
132,COSHOCTON,OH,40.270198,-81.86761
137,CULPEPER,VA,38.459521,-77.99875
138,CUMBERLAND,KY,36.972291999999996,-82.99571999999999
140,CUMBERLAND,VA,37.522085,-78.2553
144,DAUPHIN,PA,40.385622999999995,-76.92331999999999
146,DEFIANCE,OH,41.29037,-84.36539
147,DELAWARE,OH,40.295925,-83.06968
150,DINWIDDIE,VA,37.055849,-77.56349
156,ERIE,PA,42.122957,-80.08436999999999
188,FAIRFAX,VA,38.846212,-77.32786999999999
198,FAIRFIELD,OH,39.330356,-84.55277
203,FAYETTE,OH,41.661429999999996,-84.29732
208,FLOYD,VA,36.910051,-80.30870999999999
211,FRANKLIN,KY,36.718074,-86.58202
213,FRANKLIN,OH,39.550241,-84.3087
214,FRANKLIN,PA,41.407365999999996,-79.83921
215,FRANKLIN,VA,36.694658000000004,-76.965091
220,FULTON,KY,36.532059000000004,-88.89132
221,FULTON,OH,40.46242,-82.82831
225,GARRARD,KY,37.176075,-83.66608000000001
228,GILMER,WV,38.913649,-80.83125600000001
229,GLOUCESTER,VA,37.414991,-76.52959
230,GOOCHLAND,VA,37.69536,-77.99793000000001
233,GRAYSON,KY,38.323106,-82.94997
242,GREENUP,KY,38.552471999999995,-82.86514
244,HALIFAX,VA,36.774634999999996,-78.93426
245,HAMILTON,OH,39.404856,-84.52271
258,HANOVER,VA,37.753904,-77.33963
259,HARDIN,KY,36.765893,-88.26527
261,HARLAN,KY,36.828285,-83.31855999999999
263,HARRISON,OH,39.257936,-84.77001
267,HENDERSON,KY,37.807173,-87.599052
272,HENRY,VA,36.838473,-79.99093
273,HIGHLAND,OH,39.344299,-83.59926
278,HUNTINGDON,PA,40.498403,-77.99417
280,HURON,OH,41.388534,-82.5568
281,INDIANA,PA,40.626307000000004,-79.16145999999999
283,ISLE OF WIGHT,VA,36.898915,-76.68774499999999
284,JACKSON,KY,37.533559000000004,-83.34546999999999
285,JACKSON,OH,39.034226000000004,-82.63678
289,JEFFERSON,OH,41.728451,-80.74507
290,JEFFERSON,PA,39.92757,-80.05490999999999
296,KENTON,KY,38.944663,-84.520501
298,KING GEORGE,VA,38.277837,-77.1642
299,KING WILLIAM,VA,37.64375,-77.02508
305,LANCASTER,PA,40.072246,-76.3155
314,LANCASTER,VA,37.732696000000004,-76.51554
